,Site,Date,Random,Random_m,Length_m,Width_m,Depth_m,Flow_m_sec,Temp_C,Dist_nearest_structure_m,Edge_nearest_structure,Fow_direction_nearest_structure,Nr_Chinook,Nr_Steelhead_juvenile,Nr_Steelhead_large,Nr_Coho,Other_fish,,
Pool 1,Stormy A,8/1/2022,R,30R,5,3,0.79,0.7,13.3,not visible,-,-,0,0,0,0,0,,
Pool 2,Stormy A,8/1/2022,R,22R,5,3,1,0.2,13.3,not visible,-,-,0,0,0,0,0,,
Pool 3,Stormy A,8/1/2022,R,65R,5,3,0.5,0.6,13.2,,,,0,0,0,0,0,,
Pool 4,Stormy A,8/1/2022,R,37L,5,3,0.53,0.1,13.2,,,,0,0,0,0,0,,
Pool 5,Stormy A,8/1/2022,R,51L,5,3,0.54,0.1,13.2,133.5,same,down,0,0,0,0,0,,
Pool 6,Stormy A,8/1/2022,R,52R,5,3,0.48,0.4,13.2,79,opp,down,0,0,0,0,0,,
Pool 7,Stormy A,8/1/2022,R,64R,5,3,0.3,0.0,13.2,30,opp,down,0,0,0,0,0,,
Pool 8,Stormy A,8/1/2022,R,44L,5,3,0.175,0.6,13.3,30,opp,across,0,0,0,0,0,,
Pool 9,Stormy A,8/1/2022,R,73L,5,3,0.2,0.4,13.4,41,same,down,0,0,0,0,0,,
Pool 10,Stormy A,8/1/2022,R,25R,5,3,0.38,0.6,13.3,22,opp,up,0,0,0,0,0,,
Pool 11,Stormy A,8/1/2022,R,72L,5,3,0.5,0.0,13.4,,,,0,0,0,0,0,,
Pool 12,Stormy A,8/1/2022,R,67L,5,3,0.47,0.9,13.4,,,,0,0,0,0,0,,
Pool 13,Stormy A,8/1/2022,R,54R,5,3,0.09,0.2,13.5,79,opp,down,0,0,0,0,0,,
Pool 14,Stormy A,8/1/2022,R,75L,5,3,0.87,0.2,13.4,4,same,down,0,0,0,0,0,,
Pool 15,Stormy A,8/1/2022,R,33L,5,3,0.85,0.5,13.4,23,opp,down,0,0,0,0,0,,
Pool 1,Stormy A,8/1/2022,L,ELJ,12.7,7,0.3,0.5,13.2,-,-,-,10,2,0,0,2 sculpin,Several small pools on inside,
Pool 2,Stormy A,8/1/2022,L,ELJ,9.5,4.5,0.61,0.8,13.3,-,-,-,49,0,0,0,0,,
Pool 3,Stormy A,8/1/2022,L,ELJ,5.5,4.5,0.295,0.1,13.4,-,-,-,7,0,11,0,0,,
Pool 4 L,Stormy A,8/1/2022,L,ELJ,14.5,4.5,0.58,0.3,13.4,-,-,-,18,8,0,0,1 sculpin,,
Pool 4 R,Stormy A,8/1/2022,L,ELJ,14.5,2.0,1.1,0,13.4,-,-,-,27,5,1,0,0,,
Pool 5,Stormy A,8/1/2022,L,ELJ,22.5,7.5,0.67,0.7,13.4,-,-,-,33,0,15,0,4 whitefish,,
Pool 6,Stormy A,8/1/2022,L,ELJ,14,8.5,0.88,0.1,13.5,-,-,-,21,0,0,0,0,Possibly a stormy B structure,
Pool 1,Stormy B,8/1/2022,R,37L,5,3,2,0.0,14.0,37,opp,up,0,0,0,0,0,,
Pool 2,Stormy B,8/1/2022,R,20L,5,3,1,0.4,14.1,8.5,same,down,0,0,0,0,0,,
Pool 3,Stormy B,8/1/2022,R,61R,5,3,0.31,0.5,14.1,18,opp,across,0,0,0,0,0,,
Pool 4,Stormy B,8/1/2022,R,75R,5,3,0.57,0.0,16.1,23,opp,down,1,0,0,0,0,,
Pool 5,Stormy B,8/1/2022,R,40R,5,3,0.87,0.3,14.6,42.5,opp,down,0,0,0,0,0,,
Pool 6,Stormy B,8/1/2022,R,24L,5,3,0.52,0.2,15.1,49,same,up,0,0,0,0,0,,
Pool 7,Stormy B,8/1/2022,R,69R,5,3,0.53,0.7,14.9,69.5,opp,down,0,0,0,0,0,,
Pool 8,Stormy B,8/1/2022,R,22L,5,3,0.3,0.6,15.0,48,same,down,0,0,0,0,0,,
Pool 9,Stormy B,8/1/2022,R,39L,5,3,0.31,0.9,15.0,9.5,same,down,0,0,0,0,0,,
Pool 10,Stormy B,8/1/2022,R,42R,15,12,0.63,1.2,15.2,0,same,-,12,0,12,0,4 Chinook,See ELJ Nr.4,
Pool 11,Stormy B,8/1/2022,R,65L,5,3,0.45,0.5,15.4,32,opp,down,0,0,0,0,0,,
Pool 12,Stormy B,8/1/2022,R,29R,5,3,0.41,0.8,15.3,3,same,down,0,0,0,0,0,,
Pool 13,Stormy B,8/1/2022,R,41R,5,3,0.35,0.1,15.4,19,same,up,0,0,0,0,0,,
Pool 14,Stormy B,8/1/2022,R,30L,5,3,0.58,0.8,15.3,0,same,-,12,8,13,0,0,ELJ,
Pool 15,Stormy B,8/1/2022,R,68R,5,3,0.64,0.9,15.5,58.5,opp,down,0,0,0,0,0,,
Pool 1,Stormy B,8/1/2022,L,ELJ,18,3,,0.9,14.2,-,-,-,0,0,0,0,,,
Pool 2,Stormy B,8/1/2022,L,ELJ,99.5,16,1.5,0.9,14.2,-,-,-,194,3,22,0,4 spawning Chinook,,
Pool 3,Stormy B,8/1/2022,L,ELJ,12,8.5,0.61,0.4,15.0,-,-,-,11,0,0,2,0,,
Pool 4,Stormy B,8/1/2022,L,ELJ,15,12,0.63,1.2,15.1,-,-,-,12,0,12,0,4 Chinook,,
Pool 5,Stormy B,8/2/2022,L,ELJ,15.5,8.5,0.85,0.5,16.5,-,-,-,4,5,13,10,0,,
Pool 6,Stormy B,8/2/2022,L,ELJ,14,7.5,1.2,0.2,16.5,-,-,-,2,4,0,9,1 whitefish,,
Pool 7,Stormy B,8/2/2022,L,ELJ,17.5,7.5,0.72,0.8,16.2,-,-,-,9,1,0,0,0,,
Pool 8,Stormy B,8/2/2022,L,ELJ,16,14.5,0.63,0.3,16.1,-,-,-,44,3,12,0,1 sculpin & 2 whitefish,,
Pool 9,Stormy B,8/2/2022,L,ELJ,15.5,13,0.48,0.3,16.4,-,-,-,28,18,5,0,1 whitefish,,
Pool 10,Stormy B,8/2/2022,L,ELJ,15.5,15.5,0.56,0.5,16.4,-,-,-,52,0,9,0,0,,
Pool 11,Stormy B,8/2/2022,L,ELJ,16,12.5,0.36,0,17.5,-,-,-,1,1,0,16,0,,
Pool 12,Stormy B,8/2/2022,L,ELJ,14.5,8.5,0.47,0.3,16.5,-,-,-,6,0,0,15,0,,
Pool 13,Stormy B,8/2/2022,L,ELJ,23.5,8.5,3,0.2,16.5,-,-,-,62,0,0,0,0,,
Pool 1,Stormy C,8/2/2022,R,46R,5,3,0.35,0.2,13.5,2,opp,down,0,1,0,0,0,,
Pool 2,Stormy C,8/2/2022,R,73R,5,3,0.8,0.1,14.0,42,opp,up,11,0,0,0,0,,
Pool 3,Stormy C,8/2/2022,R,54L,5,3,0.35,0.3,14.0,82,same,up,0,0,0,0,0,,
Pool 4,Stormy C,8/2/2022,R,38L,5,3,0.45,0.0,14.0,67,opp,down,0,2,0,0,0,,
Pool 5,Stormy C,8/2/2022,R,58L,5,3,0.2,0.7,14.0,17.5,opp,down,0,0,0,0,0,,
Pool 6,Stormy C,8/2/2022,R,40R,5,3,1,0.8,14.0,27,opp,up,5,0,1,0,0,,
Pool 7,Stormy C,8/2/2022,R,61R,5,3,0.96,0.1,14.1,8,opp,up,2,0,0,0,0,,
Pool 8,Stormy C,8/2/2022,R,56L,5,3,0.55,0.3,14.1,46.5,same,down,0,0,0,0,0,,
Pool 9,Stormy C,8/2/2022,R,34L,5,3,1.3,0.1,14.1,16,same,down,0,0,0,0,0,,
Pool 10,Stormy C,8/2/2022,R,26R,5,3,0.47,0.3,14.1,2,opp,down,0,0,0,0,0,,
Pool 11,Stormy C,8/2/2022,R,42L,5,3,0.86,0.7,14.4,9.5,same,down,0,0,0,0,0,,
Pool 12,Stormy C,8/2/2022,R,69L,5,3,1.1,0.7,14.5,32,opp,up,0,0,0,0,0,,
Pool 13,Stormy C,8/2/2022,R,25R,5,3,0.47,0.5,14.7,9.5,opp,up,0,0,0,0,0,,
Pool 14,Stormy C,8/2/2022,R,43R,5,3,0.63,0.0,15.5,2,opp,up,0,1,0,0,0,,
Pool 15,Stormy C,8/2/2022,R,51L,5,3,0.36,0.0,15.2,47,same,up,0,0,0,0,0,,
Pool 1,Stormy C,8/2/2022,L,ELJ,13,1,0.88,0.3,13.5,-,-,-,0,0,0,0,0,,
Pool 2,Stormy C,8/2/2022,L,ELJ,12.5,3,0.91,0.0,13.8,-,-,-,8,0,1,0,0,,
Pool 3,Stormy C,8/2/2022,L,ELJ,19.5,2,1.85,0.3,13.8,-,-,-,1,0,0,0,1 whitefish,,
Pool 4,Stormy C,8/2/2022,L,ELJ,15,10.5,0.57,0.6,14.0,-,-,-,11,3,1,0,0,,
Pool 5,Stormy C,8/2/2022,L,ELJ,16,12,0.79,0.0,14.2,-,-,-,3,0,0,0,6 whitefish,,
Pool 6,Stormy C,8/2/2022,L,ELJ,11.5,5,1.2,0.2,14.1,-,-,-,12,0,0,0,1 whitefish,,
Pool 7,Stormy C,8/2/2022,L,ELJ,22,3.5,1.8,0.6,14.1,-,-,-,41,0,0,0,2 whitefish,,
Pool 8,Stormy C,8/2/2022,L,ELJ,17,13,0.79,0.4,14.4,-,-,-,4,1,0,0,0,,
Pool 9,Stormy C,8/2/2022,L,ELJ,21,19,0.71,0.9,14.5,-,-,-,21,7,1,0,1 bull trout,,
Pool 10,Stormy C,8/2/2022,L,ELJ,9.5,9,0.62,0.2,14.7,-,-,-,12,0,0,2,0,,
Pool 11,Stormy C,8/2/2022,L,ELJ,22,8,1,0.3,14.8,-,-,-,32,13,0,4,0,,
Pool 12,Stormy C,8/2/2022,L,ELJ,14,14,0.59,0.3,15.1,-,-,-,30,3,5,7,3 whitefish,,
Pool 13,Stormy C,8/2/2022,L,ELJ,25,11,0.27,0.2,15.1,-,-,-,21,4,8,0,0,,
Pool 14,Stormy C,8/2/2022,L,ELJ,14.5,2,0.85,0.0,15.5,-,-,-,0,0,0,0,0,,
Pool 15,Stormy C,8/2/2022,L,ELJ,17.5,4,1.3,0.6,15.2,-,-,-,11,10,2,0,0,,
Pool 1,Hatchery,8/3/2022,R,54L,5,3,0.52,0.3,15.0,not visible,-,-,0,0,0,0,0,Flow converted from feet/sec to m/s,
Pool 2,Hatchery,8/3/2022,R,36R,5,3,0.38,0.7,15.0,not visible,-,-,1,0,0,0,0,,
Pool 3,Hatchery,8/3/2022,R,34R,5,3,0.68,0.3,15.1,not visible,-,-,0,0,0,0,0,,
Pool 4,Hatchery,8/3/2022,R,58R,5,3,0.8,1.8,15.1,not visible,-,-,0,0,1,0,0,,
Pool 5,Hatchery,8/3/2022,R,5L,5,3,0.49,0.2,15.1,not visible,-,-,0,0,0,0,0,Flow converted from feet/sec to m/sec,
Pool 6,Hatchery,8/3/2022,R,42R,5,3,0.52,0.6,15.2,not visible,-,-,1,0,1,0,0,,
Pool 7,Hatchery,8/3/2022,R,44L,5,3,0.37,0.2,15.1,not visible,-,-,0,0,0,0,0,Flow converted from feet/sec to m/sec,
Pool 8,Hatchery,8/3/2022,R,21R,5,3,0.3,0.7,15.2,not visible,-,-,5,0,4,1,0,,
Pool 9,Hatchery,8/3/2022,R,13L,5,3,0.47,0.5,15.1,not visible,-,-,0,2,0,0,0,Flow converted from feet/sec to m/sec,
Pool 10,Hatchery,8/3/2022,R,46L,5,3,0.56,1.1,15.3,not visible,-,-,2,0,0,0,0,Flow converted from feet/sec to m/sec,
Pool 11,Hatchery,8/3/2022,R,50L,5,3,0.65,0.3,15.4,not visible,-,-,2,0,8,0,0,Flow converted from feet/sec to m/sec,
Pool 12,Hatchery,8/3/2022,R,35R,5,3,0.4,0.6,15.4,not visible,-,-,0,0,0,0,0,,
Pool 13,Hatchery,8/3/2022,R,47L,5,3,0.37,0.2,15.5,not visible,-,-,2,0,0,0,0,Flow converted from feet/sec to m/sec,
Pool 14,Hatchery,8/3/2022,R,49R,5,3,0.49,0.7,15.6,121,opp,down,2,0,0,0,0,Structure split river into main river and site channel and was out of water,
Pool 15,Hatchery,8/3/2022,R,21R,5,3,0.12,0.2,15.6,102,opp,down,0,0,0,0,1 sculpin,Structure split river into main river and site channel and was out of water,
Pool 1,Hatchery,8/3/2022,L,ELJ,5.5,4,0.16,0.1,16.2,-,-,-,0,0,0,3,0,,
Pool 2,Hatchery,8/3/2022,L,ELJ,5,4,0.2,0.0,16.2,-,-,-,0,0,0,1,0,,
Pool 3,Hatchery,8/3/2022,L,ELJ,8,4,0.29,0.3,16.2,-,-,-,0,0,0,1,0,,
Pool 4,Hatchery,8/3/2022,L,ELJ,6,6,0.22,0.4,16.3,-,-,-,14,0,0,2,0,,
Pool 5,Hatchery,8/3/2022,L,ELJ,6,5.5,0.25,0.1,16.4,-,-,-,6,13,0,6,0,,
Pool 6,Hatchery,8/3/2022,L,ELJ,1.5,1,0.17,0.0,16.8,-,-,-,0,0,0,0,0,,
Pool 7,Hatchery,8/3/2022,L,ELJ,6,5.5,0.24,0.1,16.5,-,-,-,0,7,0,7,0,,
Pool 1,PUD,8/3/2022,R,18L,5,3,0.26,1.0,18.0,not visible,-,-,0,0,0,0,0,Random sampling started at diversion instead of start reach.,
Pool 2,PUD,8/3/2022,R,49L,5,3,0.62,1.1,18.0,27,opp,down,0,2,0,0,0,Random sampling started at diversion instead of start reach. ,
Pool 3,PUD,8/3/2022,R,5R,5,3,0.41,0.6,18.0,5,same,down,1,0,0,0,0,Random sampling started at diversion instead of start reach. ,
Pool 4,PUD,8/3/2022,R,11L,5,3,0.29,0.9,18.0,25,opp,across,2,1,4,0,0,Random sampling started at diversion instead of start reach.,
Pool 5,PUD,8/3/2022,R,50R,5,3,0.55,0.5,18.1,0,same,-,6,0,0,0,0,Random sampling started at diversion instead of start reach. ,
Pool 6,PUD,8/3/2022,R,42R,5,3,0.54,0.6,18.2,0,same,-,2,4,0,0,0,Random sampling started at diversion instead of start reach. ,
Pool 7,PUD,8/3/2022,R,36L,5,3,0.47,0.3,18.4,44,opp,up,3,0,1,0,0,Random sampling started at diversion instead of start reach. There might have been a nearer ELJ at the beginning of the next reach.,
Pool 8,PUD,8/3/2022,R,14R,5,3,0.51,1.4,18.4,50,same,up,0,0,2,0,0,Random sampling started at diversion instead of start reach. There might have been a nearer ELJ at the beginning of the next reach.,
Pool 9,PUD,8/3/2022,R,46R,5,3,0.47,0.5,18.4,96,same,up,0,2,0,0,0,Random sampling started at diversion instead of start reach. There might have been a nearer ELJ at the beginning of the next reach.,
Pool 10,PUD,8/3/2022,R,43L,5,3,0.48,0.5,18.4,141,opp,up,0,0,1,0,0,Random sampling started at diversion instead of start reach. There might have been a nearer ELJ at the beginning of the next reach.,
Pool 11,PUD,8/4/2022,R,27L,5,3,0.51,0.6,15.0,not visible,-,-,1,0,0,0,0,Random sampling started at start reach.,
Pool 12,PUD,8/4/2022,R,24R,5,3,0.49,0.3,15.0,not visible,-,-,0,0,0,0,0,Random sampling started at start reach.,
Pool 13,PUD,8/4/2022,R,16L,5,3,0.37,0.2,15.0,not visible,-,-,0,0,0,0,0,Random sampling started at start reach.,
Pool 14,PUD,8/4/2022,R,35R,5,3,0.81,0.4,15.1,not visible,-,-,5,0,0,0,0,Random sampling started at start reach.,
Pool 15,PUD,8/4/2022,R,21L,5,3,0.5,0.1,15.2,not visible,-,-,0,0,0,0,0,Random sampling started at start reach.,
Pool 1,PUD,8/3/2022,L,ELJ,46,1,0.6,0.8,18.0,-,-,-,20,0,5,0,0,,
Pool 2,PUD,8/3/2022,L,ELJ,48,2,0.51,0.6,18.1,-,-,-,12,1,6,10,0,,
Pool 1,Asher Random,8/3/2022,R,52L,5,3,0.46,0.7,18.8,11,same,up,0,0,0,0,0,There was another structure in similar distance down and across,
Pool 2,Asher Random,8/3/2022,R,44R,5,3,0.66,0.8,18.9,5,same,up,0,1,0,0,0,Structure spanned over the entire river width,
Pool 3,Asher Random,8/3/2022,R,46L,5,3,0.39,0.6,19.1,6,same,up,2,0,0,0,0,,
Pool 4,Asher Random,8/3/2022,R,37R,5,3,0.56,1.5,19.1,19,opp,up,0,0,1,0,0,,
Pool 5,Asher Random,8/3/2022,R,14R,5,3,0.5,0.7,19.1,5,opp,up,2,0,0,0,0,,
Pool 6,Asher Random,8/3/2022,R,58R,5,3,0.75,0.9,19.1,63,opp,down,6,0,0,0,0,,
Pool 7,Asher Random,8/3/2022,R,8L,5,3,0.58,0.4,19.3,71,same,down,27,0,1,0,0,Natural wood debris,
Pool 8,Asher Random,8/3/2022,R,23R,5,3,0.41,0.5,19.2,94,opp,down,0,0,10,0,0,,
Pool 9,Asher Random,8/3/2022,R,14R,5,3,0.3,0.4,19.3,76,opp,up,1,0,0,0,0,,
Pool 10,Asher Random,8/3/2022,R,55L,5,3,0.51,0.7,19.4,16,same,up,0,0,1,0,0,,
Pool 11,Asher Random,8/3/2022,R,32L,5,3,0.31,0.2,19.4,16,same,down,1,0,1,0,0,,
Pool 12,Asher Random,8/3/2022,R,19R,5,3,0.57,0.5,19.4,35,opp,down,1,0,5,0,0,,
Pool 13,Asher Random,8/3/2022,R,44L,5,3,0.71,0.7,19.4,99,same,down,7,0,0,0,0,,
Pool 14,Asher Random,8/3/2022,R,20L,5,3,0.64,0.5,19.4,45,same,up,6,0,1,0,0,,
Pool 15,Asher Random,8/3/2022,R,29R,5,3,0.44,0.7,19.4,74,opp,up,0,0,0,0,0,,
Pool 1,Keystone,8/4/2022,R,12R,5,3,0.42,0.1,16.0,95,same,up,0,0,0,0,0,There was another structure in similar distance across,
Pool 2,Keystone,8/4/2022,R,11R,5,3,0.39,0.5,16.0,83,same,up,0,0,0,0,0,There was another structure in similar distance across,
Pool 3,Keystone,8/4/2022,R,14L,5,3,0.33,0.4,16.0,69,same,up,1,0,0,0,0,There was another structure in similar distance across,
Pool 4,Keystone,8/4/2022,R,30R,5,3,0.61,0.9,16.2,64,same,up,0,0,0,0,0,There was another structure in similar distance across,
Pool 5,Keystone,8/4/2022,R,17L,5,3,0.2,0.1,16.2,32,same,up,0,0,0,0,0,,
Pool 6,Keystone,8/4/2022,R,15R,5,3,0.44,0.8,16.3,31,same,up,0,0,0,0,0,,
Pool 7,Keystone,8/4/2022,R,30L,5,3,0.32,0.3,16.4,13,same,up,0,0,0,0,0,There was another structure in similar distance down,
Pool 8,Keystone,8/4/2022,R,27L,5,3,0.25,0.4,16.5,14,same,down,0,0,0,0,0,,
Pool 9,Keystone,8/4/2022,R,28L,5,3,0.43,0.1,16.4,36,same,up,1,0,0,0,0,,
Pool 10,Keystone,8/4/2022,R,13R,5,3,0.37,0.3,16.5,26,same,down,0,0,0,0,0,,
Pool 11,Keystone,8/4/2022,R,20L,5,3,0.37,0.6,16.5,60,same,down,0,0,0,0,0,There was another structure in similar distance across,
Pool 12,Keystone,8/4/2022,R,16L,5,3,0.49,1.0,16.5,83,same, ,0,0,0,0,0,,
Pool 13,Keystone,8/4/2022,R,24L,5,3,0.54,0.5,16.5,47,opp,up,0,0,0,0,0,,
Pool 14,Keystone,8/4/2022,R,18R,5,3,0.37,0.2,16.5,20,same,up,0,0,0,0,0,,
Pool 15,Keystone,8/4/2022,R,12L,5,3,2.5,0.5,16.5,20,opp,up,5,0,1,0,3 Chinook spawners,Depth is an estimate because it was too deep to measure,
Pool 1,Keystone,8/4/2022,L,ELJ,4,3,0.35,0.7,16.4,-,-,-,1,0,0,0,0,,
Pool 2,Keystone,8/4/2022,L,ELJ,2,1,0.34,0.4,16.4,-,-,-,0,0,0,0,0,,
Pool 3,Keystone,8/4/2022,L,ELJ,6,2,0.52,0.1,16.5,-,-,-,8,0,0,0,0,,
Pool 4,Keystone,8/4/2022,U,ELJ,-,-,0.23,0.0,16.5,-,-,-,0,0,0,0,0,,
Pool 5,Keystone,8/4/2022,U,ELJ,-,-,0.39,0.0,16.5,-,-,-,0,0,0,0,0,,
Pool 6,Keystone,8/4/2022,U,ELJ,-,-,0.48,0.0,16.5,-,-,-,0,0,0,0,0,,
Pool 1,Roaring,8/10/2022,R,36L,5,3,0.26,0.7,17.1,not visible,-,-,2,0,0,0,0,,
Pool 2,Roaring,8/10/2022,R,59L,5,3,0.42,0.4,17.1,not visible,-,-,6,0,0,0,0,,
Pool 3,Roaring,8/10/2022,R,30R,5,3,0.37,0.5,17.2,not visible,-,-,0,4,1,0,0,,
Pool 4,Roaring,8/10/2022,R,19R,5,3,0.78,1.2,17.2,not visible,-,-,0,0,0,0,0,,
Pool 5,Roaring,8/10/2022,R,70L,5,3,0.49,0.7,17.2,not visible,-,-,2,0,0,0,0,,
Pool 6,Roaring,8/10/2022,R,57L,5,3,0.41,0.8,17.5,not visible,-,-,0,0,0,0,0,,
Pool 7,Roaring,8/10/2022,R,55L,5,3,0.43,0.3,17.5,not visible,-,-,7,1,2,0,0,,
Pool 8,Roaring,8/10/2022,R,48L,5,3,0.46,0.8,17.8,not visible,-,-,0,0,0,0,0,,
Pool 9,Roaring,8/10/2022,R,16R,5,3,0.52,0.8,17.8,not visible,-,-,0,0,1,0,0,,
Pool 10,Roaring,8/10/2022,R,57R,5,3,0.68,0.7,17.8,not visible,-,-,0,1,0,0,0,,
Pool 11,Roaring,8/10/2022,R,29L,5,3,0.51,0.9,18.0,not visible,-,-,2,0,0,0,0,,
Pool 12,Roaring,8/10/2022,R,8R,5,3,0.36,0.5,18.0,not visible,-,-,0,1,0,0,0,,
Pool 13,Roaring,8/10/2022,R,26L,5,3,0.46,0.6,17.9,not visible,-,-,1,0,0,0,0,,
Pool 14,Roaring,8/10/2022,R,59L,5,3,0.62,0.6,18.0,not visible,-,-,0,0,0,0,1 spawner,,
Pool 15,Roaring,8/10/2022,R,43L,5,3,0.36,0.2,18.0,not visible,-,-,3,2,0,0,0,,
Pool 1,Harrison Side Channel,8/10/2022,R,20L,5,3,0.46,0.3,15.9,5,same,down,0,10,0,0,0,,
Pool 2,Harrison Side Channel,8/10/2022,R,27L,5,3,0.28,0.5,15.9,24,opp,up,0,2,0,0,0,,
Pool 3,Harrison Side Channel,8/10/2022,R,15R,5,3,0.34,0.4,16.0,2,same,down,1,0,0,0,0,,
Pool 4,Harrison Side Channel,8/10/2022,R,13R,5,3,0.46,0.5,16.0,17,same,up,0,0,0,0,0,,
Pool 5,Harrison Side Channel,8/10/2022,R,28L,5,3,0.4,0.3,16.0,,,,0,0,0,0,0,,
Pool 6,Harrison Side Channel,8/10/2022,R,23L,5,3,0.53,0.9,16.0,34,opp,up,0,3,0,0,0,There was another structure in similar distance down,
Pool 7,Harrison Side Channel,8/10/2022,R,15R,5,3,0.25,0.5,16.2,21,same,up,0,0,0,0,0,,
