,Site,Date,Random,Random_m,Length_m,Width_m,Depth_m,Flow_m_sec,Temp_C,Dist_nearest_structure_m,Edge_nearest_structure,Fow_direction_nearest_structure,Nr_Chinook,Nr_Steelhead_juvenile,Nr_Steelhead_large,Nr_Coho,Other_fish,,
Pool 8,Harrison Side Channel,8/10/2022,R,25R,5,3,0.44,0.6,16.2,,,,0,0,0,0,0,,
Pool 9,Harrison Side Channel,8/10/2022,R,29L,5,3,0.4,0.6,16.2,,,,0,1,0,0,0,,
Pool 10,Harrison Side Channel,8/10/2022,R,14R,5,3,0.5,0.7,16.3,1,same,down,0,0,0,0,0,,
Pool 11,Harrison Side Channel,8/10/2022,R,7R,5,3,0.27,0.1,16.2,8,same,down,0,0,0,0,0,,
Pool 12,Harrison Side Channel,8/10/2022,R,11R,5,3,0.39,0.5,16.2,8,same,up,0,0,0,0,0,,
Pool 13,Harrison Side Channel,8/10/2022,R,28R,5,3,0.36,0.8,16.3,9,same,up,0,0,0,0,0,,
Pool 14,Harrison Side Channel,8/10/2022,R,16L,5,3,0.26,0.2,16.3,25,opp,down,0,0,0,0,0,,
Pool 15,Harrison Side Channel,8/10/2022,R,20R,5,3,0.6,1.0,16.3,25,same,down,0,1,0,0,0,,
Pool 0,Harrison Side Channel,8/10/2022,L,ELJ,33,3,0.5,0.4,15.9,-,-,-,18,5,3,0,1 dace,,
Pool 1,Harrison Side Channel,8/10/2022,L,ELJ,19,5,1.5,1.2,15.9,-,-,-,36,0,6,0,0,,
Pool 2,Harrison Side Channel,8/10/2022,L,ELJ,13,5,0.86,0.5,16.0,-,-,-,31,0,0,0,3 whitefish 2 suckers,,
Pool 3,Harrison Side Channel,8/10/2022,L,ELJ,16,6,0.44,0.6,16.2,-,-,-,15,0,2,0,30 suckers ,,
Pool 4,Harrison Side Channel,8/10/2022,L,ELJ,15,5,0.58,0.5,16.2,-,-,-,21,0,3,0,1 sucker 1 shiner,,
Pool 5,Harrison Side Channel,8/10/2022,L,ELJ,16,5,1.2,1.1,16.2,-,-,-,3,3,0,0,"6 spawner, 1 sucker",,
Pool 1,Kiosk,8/9/2022,R,58L,5,3,0.32,0.6,17.5,not visible,-,-,0,0,0,0,0,,
Pool 2,Kiosk,8/9/2022,R,31L,5,3,0.77,0.9,17.5,not visible,-,-,0,0,0,0,0,,
Pool 3,Kiosk,8/9/2022,R,96R,5,3,0.34,0.2,18.0,not visible,-,-,0,0,0,0,0,,
Pool 4,Kiosk,8/9/2022,R,93R,5,3,0.62,1.2,18.0,not visible,-,-,0,0,0,0,0,,
Pool 5,Kiosk,8/9/2022,R,6R,5,3,0.58,0.5,18.8,not visible,-,-,0,0,0,0,0,,
Pool 6,Kiosk,8/9/2022,R,9L,5,3,0.57,0.5,17.6,not visible,-,-,0,0,0,0,0,,
Pool 7,Kiosk,8/9/2022,R,56L,5,3,0.27,0.3,17.7,not visible,-,-,0,0,0,0,0,,
Pool 8,Kiosk,8/9/2022,R,65R,5,3,0.57,0.3,17.7,not visible,-,-,0,0,0,0,0,,
Pool 9,Kiosk,8/9/2022,R,47R,5,3,0.31,0.7,17.8,not visible,-,-,0,0,0,0,0,,
Pool 10,Kiosk,8/9/2022,R,90L,5,3,0.94,0.8,17.9,not visible,-,-,0,0,0,0,0,,
Pool 11,Kiosk,8/9/2022,R,9L,5,3,0.87,0.6,17.9,not visible,-,-,0,0,0,0,0,,
Pool 12,Kiosk,8/9/2022,R,12R,5,3,0.6,0.3,17.9,not visible,-,-,0,0,0,0,0,,
Pool 13,Kiosk,8/9/2022,R,13R,5,3,0.71,0.4,18.0,not visible,-,-,0,0,0,0,60 shiner,,
Pool 14,Kiosk,8/9/2022,R,47L,5,3,0.38,0.2,18.0,not visible,-,-,0,0,0,0,15 shiner,,
Pool 15,Kiosk,8/9/2022,R,96L,5,3,0.82,0.0,18.1,not visible,-,-,0,0,0,0,0,,
Pool 1,3D,8/9/2022,R,47L,5,3,0.23,0.2,12.8,55,same,up,0,0,0,0,0,,
Pool 2,3D,8/9/2022,R,30L,5,3,0.23,0.4,12.8,25,same,up,0,0,0,0,0,,
Pool 3,3D,8/9/2022,R,51R,5,3,0.27,0.4,12.8,22,opp,up,0,0,0,0,0,,
Pool 4,3D,8/9/2022,R,70R,5,3,0.2,0.1,12.8,52,opp,up,0,0,0,0,0,There was another structure in similar distance down,
Pool 5,3D,8/9/2022,R,60L,5,3,0.65,0.8,12.8,5,same,down,0,0,0,0,0,,
Pool 6,3D,8/9/2022,R,51R,5,3,0.19,0.2,12.8,27,opp,down,0,0,0,0,0,,
Pool 7,3D,8/9/2022,R,40R,5,3,0.29,0.5,12.8,62,opp,down,0,0,0,0,0,,
Pool 8,3D,8/9/2022,R,38L,5,3,0.25,0.2,12.8,70,same,down,0,0,0,0,0,,
Pool 9,3D,8/9/2022,R,11L,5,3,0.38,0.7,12.8,81,same,down,0,0,0,0,0,,
Pool 10,3D,8/9/2022,R,49R,5,3,0.51,0.3,12.8,85,opp,up,0,0,0,0,1 sculpin,,
Pool 11,3D,8/9/2022,R,21R,5,3,0.5,0.4,12.8,65,opp,up,0,0,0,0,0,,
Pool 12,3D,8/9/2022,R,7L,5,3,0.21,0.1,12.9,33,same,up,0,0,0,0,0,,
Pool 13,3D,8/9/2022,R,48L,5,3,0.34,0.7,12.9,13,same,down,0,0,0,0,0,,
Pool 14,3D,8/9/2022,R,14R,5,3,0.31,0.5,12.9,45,opp,down,0,0,0,0,0,,
Pool 15,3D,8/9/2022,R,25R,5,3,0.15,0.2,12.9,,,,0,0,0,0,0,Numbers are invented,
Pool 1,3D,8/9/2022,L,ELJ,28,2,0.85,0.6,12.8,-,-,-,43,0,0,2,0,,
Pool 2,3D,8/9/2022,L,ELJ,31,3,0.83,0.9,12.8,-,-,-,103,0,0,0,0,,
Pool 3a,3D,8/9/2022,L,ELJ,20,1,0.58,0.9,12.8,-,-,-,3,0,0,0,0,,
Pool 3b,3D,8/9/2022,L,ELJ,3,3,0.51,0.4,12.8,-,-,-,10,0,1,0,0,,
Pool 3c,3D,8/9/2022,L,ELJ,8,3,0.78,0.7,12.8,-,-,-,26,0,0,0,0,,
Pool 3d,3D,8/9/2022,L,ELJ,3,3,0.39,0.7,12.8,-,-,-,1,0,0,0,0,,
Pool 4,3D,8/9/2022,L,ELJ,13,4,0.51,0.2,13.0,-,-,-,9,0,0,0,0,,
Pool 5,3D,8/9/2022,L,ELJ,21,4,0.67,1.4,12.8,-,-,-,31,0,0,0,0,,
Pool 6,3D,8/9/2022,L,ELJ,35,3,0.79,0.5,13.0,-,-,-,39,0,4,2,0,Side channel entrance at mid ELJ,
Pool 7,3D,8/9/2022,L,ELJ,10.5,3.5,0.23,0.1,13.1,-,-,-,0,0,0,0,0,,
Pool 1,Dillwater,8/9/2022,R,45R,5,3,0.29,0.5,13.6,22,opp,across,0,0,0,0,1 sculpin,,
Pool 2,Dillwater,8/9/2022,R,15R,5,3,0.3,0.0,13.7,34,opp,across,0,0,0,0,0,,
Pool 3,Dillwater,8/9/2022,R,14R,5,3,0.46,0.1,13.7,14,opp,across,0,0,0,0,0,,
Pool 4,Dillwater,8/9/2022,R,30R,5,3,0.64,0.3,14.4,9.5,opp,across,0,0,0,0,0,,
Pool 5,Dillwater,8/9/2022,R,20R,5,3,0.29,0.4,13.6,13.5,opp,across,0,0,0,0,0,,
Pool 6,Dillwater,8/9/2022,R,9R,5,3,0.23,0.5,13.6,13,opp,across,0,0,0,0,1 sculpin,,
Pool 7,Dillwater,8/9/2022,R,17R,5,3,0.26,0.2,13.7,16,opp,across,0,0,0,0,0,,
Pool 8,Dillwater,8/9/2022,R,14R,5,3,0.39,0.0,13.6,18,opp,across,0,0,0,0,0,,
Pool 9,Dillwater,8/9/2022,R,23L,5,3,1.8,0.1,13.7,10,same,down,8,0,0,0,0,,
Pool 10,Dillwater,8/9/2022,R,46L,5,3,0.57,0.1,13.9,10,same,down,0,0,0,0,0,,
Pool 11,Dillwater,8/9/2022,R,12L,5,3,0.27,0.1,13.7,4,same,up,0,0,0,0,0,,
Pool 12,Dillwater,8/9/2022,R,37L,5,3,0.12,0.1,13.8,20,same,down,0,0,0,0,0,,
Pool 13,Dillwater,8/9/2022,R,40L,5,3,0.4,0.5,13.7,2,same,up,0,0,0,0,0,,
Pool 14,Dillwater,8/9/2022,R,38R,5,3,0.5,0.3,13.6,49,opp,down,0,0,0,0,0,,
Pool 15,Dillwater,8/9/2022,R,27L,5,3,0.26,0.4,13.7,not visible,-,-,0,0,0,0,0,,
Pool 1,Dillwater,8/9/2022,L,ELJ,10,1,0.13,1.1,13.6,-,-,-,1,0,0,0,0,,
Pool 2,Dillwater,8/9/2022,L,ELJ,12.5,3,0.4,0.0,13.7,-,-,-,0,0,0,0,0,,
Pool 3,Dillwater,8/9/2022,U,ELJ,-,-,-,-,-,-,-,-,0,-,-,-,-,High and dry,
Pool 4,Dillwater,8/9/2022,U,ELJ,-,-,-,-,-,-,-,-,0,-,-,-,-,High and dry,
Pool 5,Dillwater,8/9/2022,U,ELJ,180,5,,,13.6,-,-,-,179,9,22,5,15 whitefish 1 sculpin 1 chinook spawner,New ELJ,
Pool 1,Yakama,8/11/2022,R,11R,5,3,0.5,0.1,19.1,not visible,-,-,0,0,0,0,0,,
Pool 2,Yakama,8/11/2022,R,14L,5,3,0.31,0.5,19.1,not visible,-,-,0,0,0,0,0,,
Pool 3,Yakama,8/11/2022,R,8R,5,3,0.64,0.7,18.8,191,opp,up,0,1,1,0,0,,
Pool 4,Yakama,8/11/2022,R,16R,5,3,0.78,1.3,19.0,,,,1,0,0,0,0,,
Pool 5,Yakama,8/11/2022,R,17L,5,3,0.25,0.4,18.9,15,same,up,0,0,0,0,0,,
Pool 6,Yakama,8/11/2022,R,13R,5,3,0.69,1.0,18.9,29,opp,up,3,0,0,0,0,,
Pool 7,Yakama,8/11/2022,R,19R,5,3,0.65,0.9,18.9,,,,10,0,1,0,0,,
Pool 8,Yakama,8/11/2022,R,32R,5,3,0.75,0.9,18.9,24.5,opp,down,0,0,0,0,0,,
Pool 9,Yakama,8/11/2022,R,13L,5,3,0.32,0.7,19.1,9,same,down,0,0,0,0,0,,
Pool 10,Yakama,8/11/2022,R,26L,5,3,0.23,0.7,19.4,,,,0,0,0,0,0,,
Pool 11,Yakama,8/11/2022,R,20L,5,3,0.51,0.5,19.4,3.5,same,down,0,0,0,0,0,,
Pool 12,Yakama,8/11/2022,R,31R,5,3,0.45,0.5,19.4,29.5,opp,up,0,0,0,0,0,,
Pool 13,Yakama,8/11/2022,R,28R,5,3,0.42,0.2,19.4,19.5,opp,down,0,0,0,0,0,,
Pool 14,Yakama,8/11/2022,R,25L,5,3,0.76,0.6,19.4,23,same,down,0,0,0,0,0,,
Pool 15,Yakama,8/11/2022,R,12L,5,3,0.6,0.5,19.5,4,same,up,3,0,3,0,0,,
Pool 1,Yakama,8/11/2022,L,ELJ,4,3,0.45,0.0,18.9,-,-,-,0,0,0,0,0,,
Pool 2,Yakama,8/11/2022,L,ELJ,5,3,0.54,0.4,19.3,-,-,-,5,0,0,0,0,,
Pool 3,Yakama,8/11/2022,U,ELJ,-,-,-,-,-,-,-,-,0,-,-,-,-,High and dry,
Pool 4,Yakama,8/11/2022,L,ELJ,4,1.5,0.35,0.4,19.4,-,-,-,2,0,0,1,0,,
Pool 5,Yakama,8/11/2022,L,ELJ,8,1.5,0.62,0.7,19.4,-,-,-,6,0,0,0,0,,
Pool 6,Yakama,8/11/2022,L,ELJ,4,2,0.67,0.7,19.5,-,-,-,8,1,2,1,0,,
Pool 7,Yakama,8/11/2022,L,ELJ,21,4,0.6,0.7,19.4,-,-,-,8,0,4,0,3 sucker,,
Pool 1,Asher,8/11/2022,R,26L,5,3,0.49,0.4,16.7,4,same,down,3,0,0,0,0,,
Pool 2,Asher,8/11/2022,R,13R,5,3,0.48,0.0,16.7,22.5,opp,down,0,0,0,1,0,,
Pool 3,Asher,8/11/2022,R,60L,5,3,0.23,0.3,16.8,15,same,down,0,0,0,0,0,,
Pool 4,Asher,8/11/2022,R,59R,5,3,0.54,0.4,16.8,29,opp,down,1,0,0,0,0,,
Pool 5,Asher,8/11/2022,R,22R,5,3,0.43,0.7,16.8,30.5,opp,down,1,0,0,0,1 sculpin,,
Pool 6,Asher,8/11/2022,R,7L,5,3,0.38,1.1,16.9,8.5,same,up,0,0,0,0,0,,
Pool 7,Asher,8/11/2022,R,33L,5,3,0.46,0.8,16.9,25,same,down,0,0,0,0,0,,
Pool 8,Asher,8/11/2022,R,41R,5,3,0.39,0.2,16.9,66,opp,down,3,0,0,0,0,Flow was estimated,
Pool 9,Asher,8/11/2022,R,54R,5,3,0.53,0.9,17.0,120,opp,down,0,0,0,0,0,,
Pool 10,Asher,8/11/2022,R,45L,5,3,0.51,0.7,17.1,15,same,up,0,0,0,0,0,,
Pool 11,Asher,8/11/2022,R,58R,5,3,0.38,0.3,17.1,51.5,opp,down,0,0,0,0,0,,
Pool 12,Asher,8/11/2022,R,22L,5,2,0.44,0.7,17.4,0,same,-,0,0,0,0,0,On rock structure #1,
Pool 13,Asher,8/11/2022,R,60L,5,3,0.6,0.6,17.7,14,same,down,0,0,0,0,0,,
Pool 14,Asher,8/11/2022,R,23R,5,3,0.47,0.3,17.7,10,same,down,5,0,0,0,0,,
Pool 15,Asher,8/11/2022,R,44R,5,3,0.37,0.8,18.0,28,opp,down,1,0,0,0,0,,
Pool 0,Asher,8/11/2022,L,ELJ,4.5,3.5,0.53,0.5,17.2,-,-,-,3,0,1,0,0,,
Pool 1,Asher,8/11/2022,L,ERJ,5.0,2.0,0.44,0.7,17.4,-,-,-,0,0,0,0,0,,
Pool 2,Asher,8/11/2022,L,ELJ,3.5,3.0,0.66,0.3,17.5,-,-,-,14,0,0,0,2 sucker,,
Pool 3,Asher,8/11/2022,U,ERJ,-,-,0.64,0.5,18.0,-,-,-,1,0,0,0,1 sucker,,
Pool 4,Asher,8/11/2022,U,ERJ,-,-,0.46,0.8,18.1,-,-,-,0,0,0,0,0,,
Pool 5,Asher,8/11/2022,L,ERJ,5.5,2.0,0.38,0.8,18.2,-,-,-,2,0,0,0,0,,
Pool 6,Asher,8/11/2022,L,ELJ,12.5,3.5,0.55,0.4,18.4,-,-,-,6,0,1,0,0,,
Pool 6b,Asher,8/11/2022,L,ELJ,10,2,0.41,0.3,18.4,-,-,-,10,0,0,0,0,,
Pool 7,Asher,8/11/2022,L,ERJ,2.5,1.5,0.48,0.8,18.2,-,-,-,0,0,0,0,0,,
Pool 8,Asher,8/11/2022,L,ELJ,7.5,4.0,0.52,0.4,18.1,-,-,-,5,0,2,0,0,,
Pool 9,Asher,8/11/2022,L,ERJ,6.5,1.5,0.37,0.0,17.5,-,-,-,2,0,0,0,0,,
Pool 10,Asher,8/11/2022,L,ELJ,10,3.0,0.59,0.5,17.5,-,-,-,3,1,0,13,8 sucker,,
Pool N1,Asher,8/11/2022,L,ELJ,5,4,0.62,0.4,16.7,-,-,-,18,0,11,0,0,,
Pool N2,Asher,8/11/2022,L,ELJ,4.2,1.0,0.56,0.7,16.7,-,-,-,0,1,0,0,0,,
Pool N3,Asher,8/11/2022,U,ELJ,-,-,-,-,-,-,-,-,0,-,-,-,-,High and dry,
Pool N4,Asher,8/11/2022,L,ELJ,4,1.5,0.24,0.5,16.8,-,-,-,1,0,0,0,0,Almost high and dry,
Pool N5,Asher,8/11/2022,L,ELJ,5,1,0.61,0.6,16.9,-,-,-,5,0,0,0,0,,
Pool N6,Asher,8/11/2022,L,ELJ,4.5,1,0.65,1.3,16.9,-,-,-,0,0,0,0,0,,
Pool 1,Gray D,8/8/2022,R,24L,5,3,0.21,0.1,13.8,33,,,0,0,0,0,0,,
Pool 2,Gray D,8/8/2022,R,60L,5,3,0.82,0.2,13.7,91,,,1,0,0,0,0,,
Pool 3,Gray D,8/8/2022,R,20L,5,3,1.3,0.3,13.7,93,,,1,4,0,0,1 unknown,,
Pool 4,Gray D,8/8/2022,R,88L,5,3,0.33,0.4,13.7,22.5,,,0,0,0,0,0,,
Pool 5,Gray D,8/8/2022,R,54L,5,3,0.49,0.1,15.0,66.5,,,0,3,0,0,0,,
Pool 6,Gray D,8/8/2022,R,39L,5,3,0.22,0.4,14.0,95,,,0,0,0,0,0,,
Pool 7,Gray D,8/8/2022,R,3L,5,3,1.9,0.1,14.0,not visible,-,-,15,10,1,0,1 unknown,,
Pool 8,Gray D,8/8/2022,R,63R,5,3,1.14,0.2,13.9,63,same,up,3,0,0,0,0,,
Pool 9,Gray D,8/8/2022,R,68R,5,3,0.62,0.3,13.9,53,opp,down,0,0,0,0,0,,
Pool 10,Gray D,8/8/2022,R,161R,5,3,1.2,0.9,13.7,108,opp,up,0,0,11,0,1 sculpin,,
Pool 11,Gray D,8/8/2022,R,53R,5,3,0.27,0.7,13.7,161,opp,up,0,0,0,0,0,,
Pool 12,Gray D,8/8/2022,R,142R,5,3,0.2,0.1,14.0,303,opp,up,0,0,0,0,0,,
Pool 13,Gray D,8/8/2022,R,45R,5,3,0.68,0.1,14.5,348,opp,up,0,0,0,0,0,,
Pool 14,Gray D,8/8/2022,R,21R,5,3,0.33,1.1,14.0,369,opp,up,0,0,0,0,0,,
Pool 15,Gray D,8/8/2022,R,31R,5,3,1.2,0.8,14.0,400,opp,up,0,4,21,8,0,,
Pool 1,Gray D,8/8/2022,L,ELJ,8,3.5,1.0,0.4,13.7,-,-,-,26,0,51,11,0,Mainstem part in of side channel structure side channel dry,
Pool 2,Gray D,8/8/2022,L,ELJ,17,1.5,0.88,0.5,13.7,-,-,-,35,0,0,0,0,,
Pool 1,Gray E,8/8/2022,R,134L,5,3,0.34,0.4,14.5,not visible,-,-,0,1,0,0,0,,
Pool 2,Gray E,8/8/2022,R,89L,5,3,1.4,0.1,14.3,170,,,10,26,0,0,0,,
Pool 3,Gray E,8/8/2022,R,63L,5,3,1.2,0.0,14.3,93,,,0,0,0,0,0,,
Pool 4,Gray E,8/8/2022,R,54L,5,3,0.7,0.4,14.5,37,,,12,4,0,0,0,,
Pool 5,Gray E,8/8/2022,R,70L,5,3,0.67,0.2,14.7,21.5,,,0,0,0,0,0,,
Pool 6,Gray E,8/8/2022,R,92L,17,13,1.02,0.1,14.3,0,same,-,0,6,16,10,-,ELJ #3,
Pool 7,Gray E,8/8/2022,R,54L,5,3,0.12,0.1,15.2,10.5,,,0,3,0,0,0,,
Pool 8,Gray E,8/8/2022,R,45R,5,3,0.55,0.3,14.1,not visible,-,-,6,1,0,1,0,,
Pool 9,Gray E,8/8/2022,R,21R,5,3,0.53,0.1,14.2,not visible,-,-,2,1,0,0,0,Natural wood debris,
Pool 10,Gray E,8/8/2022,R,31R,5,3,1.0,0.0,14.2,not visible,-,-,0,0,0,14,0,Natural wood debris,
Pool 11,Gray E,8/8/2022,R,99R,5,3,0.89,0.1,14.4,not visible,-,-,0,0,0,0,0,Natural wood debris,
Pool 12,Gray E,8/8/2022,R,44R,5,3,0.32,0.1,14.4,114,opp,down,0,0,0,0,0,,
Pool 13,Gray E,8/8/2022,R,208R,5,3,0.56,0.9,14.3,25,opp,up,0,0,0,0,0,There was another structure in similar distance down,
Pool 14,Gray E,8/8/2022,R,106R,5,3,1.1,1.1,14.3,10,opp,down,0,0,0,0,1 larger chinook,,
Pool 15,Gray E,8/8/2022,R,40R,5,3,0.43,0.1,14.7,22,opp,up,12,0,0,0,0,,
Pool 1,Gray E,8/8/2022,L,ELJ,10.5,15,0.47,0.1,14.6,-,-,-,2,11,0,0,1 unknown,,
Pool 2,Gray E,8/8/2022,L,ELJ,9.5,9.5,0.33,1.0,14.3,-,-,-,3,0,0,6,0,,
Pool 3,Gray E,8/8/2022,L,ELJ,17,13,1.02,0.1,14.3,-,-,-,0,6,16,10,0,,
Pool 4,Gray E,8/8/2022,L,ELJ,15.5,15.5,0.16,0.1,15.0,-,-,-,0,7,0,0,0,,
Pool 5,Gray E,8/8/2022,L,ELJ,13,11,0.59,0.3,14.3,-,-,-,0,0,0,1,0,,
Pool 6,Gray E,8/8/2022,L,ELJ,13,11,0.66,0.5,15.4,-,-,-,2,27,0,0,0,,
Pool 1,Gray F,8/8/2022,R,98R,5,3,0.67,0.5,15.3,not visible,-,-,2,0,0,0,0,,
Pool 2,Gray F,8/8/2022,R,43R,5,3,0.56,0.6,15.3,not visible,-,-,0,0,0,0,0,,
Pool 3,Gray F,8/8/2022,R,63R,5,3,0.74,0.2,15.4,57,opp,up,0,0,0,0,1 sculpin,,
Pool 4,Gray F,8/8/2022,R,59R,5,3,0.75,0.2,15.4,20.5,opp,across,0,0,0,0,0,,
Pool 5,Gray F,8/8/2022,R,50R,5,3,0.7,1.0,15.6,35,opp,down,0,0,1,0,1 spawning chinook,,
Pool 6,Gray F,8/8/2022,R,109R,5,3,0.29,0.5,15.9,122,opp,up,0,1,0,0,0,,
Pool 7,Gray F,8/8/2022,R,64R,5,3,0.87,0.2,15.8,65,opp,up,0,0,0,0,0,,
Pool 8,Gray F,8/8/2022,R,51L,5,3,0.17,0.7,15.2,not visible,-,-,0,0,0,0,0,,
Pool 9,Gray F,8/8/2022,R,68L,5,3,0.26,0.5,16.0,not visible,-,-,0,0,0,0,0,,
Pool 10,Gray F,8/8/2022,R,164L,5,3,0.9,0.2,16.0,38.3,,,1,9,0,3,0,,
Pool 11,Gray F,8/8/2022,R,119L,5,3,0.5,0.3,20.2,not visible,-,-,0,0,0,0,0,,
Pool 12,Gray F,8/8/2022,R,66L,5,3,0.8,0.0,18.5,not visible,-,-,1,0,0,0,0,,
Pool 13,Gray F,8/8/2022,R,116L,5,3,0.19,0.4,18.0,24,,,0,0,0,0,0,,
Pool 14,Gray F,8/8/2022,R,48L,5,3,0.22,0.1,17.2,31,,,19,0,0,0,0,,
Pool 15,Gray F,8/8/2022,R,52L,5,3,0.4,0.1,17.2,61,,,0,0,0,0,0,,
Pool 1,Gray F,8/8/2022,L,ELJ,19.5,5,0.51,0.2,16.1,-,-,-,11,42,0,0,6 whitefish,,
Pool 2,Gray F,8/8/2022,L,ELJ,5,3,0.12,0.0,18.3,-,-,-,0,4,0,0,0,,
Pool 3,Gray F,8/8/2022,L,ELJ,17,1,0.31,0.5,18.5,-,-,-,0,0,0,24,0,,
Pool 4,Gray F,8/8/2022,L,ELJ,7,6.5,0.4,0.3,16.3,-,-,-,0,2,0,0,0,,
Pool 5,Gray F,8/8/2022,L,ELJ,10,5,0.61,0.6,16.4,-,-,-,0,14,0,0,1 whitefish,,
Pool 6,Gray F,8/8/2022,L,ELJ,7,6,0.51,0.4,16.4,-,-,-,0,0,0,0,0,,
Pool 7,Gray F,8/8/2022,L,ELJ,16,12,0.84,0.2,16.4,-,-,-,8,2,0,0,0,,
Pool 8,Gray F,8/8/2022,L,ELJ,16,13,0.58,0.6,16.1,-,-,-,6,0,0,0,0,,
Pool 1,Harrison Orchard Control,8/10/2022,R,34R,5,3,0.57,1.0,16.6,not visible,-,-,0,0,1,0,0,,
Pool 2,Harrison Orchard Control,8/10/2022,R,38L,5,3,0.36,0.9,16.6,not visible,-,-,0,2,0,0,0,,
Pool 3,Harrison Orchard Control,8/10/2022,R,32R,5,3,0.48,0.3,16.6,not visible,-,-,2,0,0,0,0,,
Pool 4,Harrison Orchard Control,8/10/2022,R,51R,5,3,0.61,1.3,16.7,not visible,-,-,1,0,0,0,0,,
Pool 5,Harrison Orchard Control,8/10/2022,R,13R,5,3,0.57,0.8,16.7,not visible,-,-,0,0,0,0,0,,
Pool 6,Harrison Orchard Control,8/10/2022,R,57L,5,3,0.29,0.0,17.0,not visible,-,-,0,6,6,0,0,,
Pool 7,Harrison Orchard Control,8/10/2022,R,7L,5,3,0.52,0.2,17.0,not visible,-,-,0,4,1,0,0,,
Pool 8,Harrison Orchard Control,8/10/2022,R,22L,5,3,0.76,0.4,17.0,not visible,-,-,0,0,0,0,4 spawners,Reversed upstream couldnâ€™t pass high flow area wrapped around island,
Pool 9,Harrison Orchard Control,8/10/2022,R,6R,5,3,0.55,0.2,17.0,not visible,-,-,7,0,3,0,0,,
Pool 10,Harrison Orchard Control,8/10/2022,R,26L,5,3,0.75,0.8,17.0,not visible,-,-,1,0,1,0,0,,
Pool 11,Harrison Orchard Control,8/10/2022,R,37L,5,3,0.45,0.7,17.1,not visible,-,-,0,0,0,0,0,,
Pool 12,Harrison Orchard Control,8/10/2022,R,6L,5,3,0.45,0.3,17.1,not visible,-,-,0,0,0,0,0,,
Pool 13,Harrison Orchard Control,8/10/2022,R,24L,5,3,0.45,0.4,17.2,not visible,-,-,0,0,0,0,0,,
Pool 14,Harrison Orchard Control,8/10/2022,R,41R,5,3,0.42,0.4,17.2,not visible,-,-,2,0,3,0,0,,
Pool 15,Harrison Orchard Control,8/10/2022,R,53L,5,3,0.48,0.3,17.3,not visible,-,-,0,0,5,0,0,,